Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
#	s	Hz	ohm	ohm	V	ohm	?	A	V	#
0	2	5000016	436.8702	-77.8615	1	443.7544	-10.10547	-2.66E-07	-0.0001317	8
1	4	3971672	434.0653	-71.44506	1	439.9058	-9.346804	8.11E-07	-0.0001419	8
2	5	3154828	441.7874	-61.1864	1	446.0043	-7.885155	1.37E-08	-0.0001315	8
3	6	2505984	446.6594	-52.52847	1	449.7376	-6.707344	5.57E-07	-0.0001044	8
4	8	1990547	450.5679	-46.14157	1	452.9243	-5.847139	3.50E-07	-0.000107	8
5	9	1581141	454.0476	-40.53272	1	455.8532	-5.101259	4.43E-07	-0.0001204	8
6	10	1256016	456.9908	-37.76178	1	458.5483	-4.723697	4.54E-07	-0.0001222	8
7	12	997641	459.6815	-35.18889	1	461.0265	-4.377488	4.53E-07	-0.0001046	8
8	13	792515.6	464.2811	-33.68624	1	465.5016	-4.149864	2.88E-07	-5.17E-05	7
9	15	629484.4	467.7463	-33.45872	1	468.9415	-4.091499	3.46E-07	-2.28E-05	7
10	16	500015.6	471.5776	-32.06598	1	472.6665	-3.889967	3.64E-07	-4.66E-05	7
11	17	397171.9	475.8465	-32.63726	1	476.9644	-3.923646	3.64E-07	-3.37E-05	7
12	19	315515.6	479.5645	-34.17996	1	480.7811	-4.076744	3.74E-07	-3.20E-05	7
13	20	250640.6	484.5984	-35.24314	1	485.8782	-4.159598	3.85E-07	-3.92E-05	7
14	21	199078.1	489.2735	-36.8016	1	490.6556	-4.301507	3.82E-07	-3.81E-05	7
15	23	158203.1	494.4183	-39.24615	1	495.9735	-4.538533	3.85E-07	-2.74E-05	7
16	24	125671.9	499.7212	-41.8087	1	501.467	-4.782459	4.00E-07	-5.49E-05	7
17	25	99796.9	506.9703	-44.37242	1	508.9084	-5.002048	5.09E-07	-4.83E-05	7
18	26	79265.63	514.0438	-47.7042	1	516.2526	-5.301967	5.13E-07	-4.62E-05	7
